日付,エリア,店番,店名,管理番号,部門,代表商品,代表商品名,振出店名,不足フラグ
2021/10/14,14.埼玉TC,1216,ララガーデン春日部店,1401-0505-6800,34,341-419498(04-41),ｿﾌﾄﾀｯﾁﾊｲﾈｯｸT(L),大阪DC（自）,0
2021/10/14,14.埼玉TC,1216,ララガーデン春日部店,1402-2183-4440,34,341-443221(14-01),WPJﾌﾘｰｽｵｰﾊﾞｰｻｲｽﾞPO,千葉DC,0
2021/10/14,14.埼玉TC,1216,ララガーデン春日部店,1402-2183-4450,34,341-443221(14-01),WPJﾌﾘｰｽｵｰﾊﾞｰｻｲｽﾞPO,千葉DC,0
2021/10/14,14.埼玉TC,1216,ララガーデン春日部店,1402-2183-4460,34,341-443221(14-01),WPJﾌﾘｰｽｵｰﾊﾞｰｻｲｽﾞPO,千葉DC,0
2021/10/14,14.埼玉TC,1216,ララガーデン春日部店,1402-2183-5820,34,341-443221(14-01),WPJﾌﾘｰｽｵｰﾊﾞｰｻｲｽﾞPO,千葉DC,0
2021/10/14,14.埼玉TC,1216,ララガーデン春日部店,1402-2183-5830,34,341-443221(14-01),WPJﾌﾘｰｽｵｰﾊﾞｰｻｲｽﾞPO,千葉DC,0
2021/10/14,14.埼玉TC,1216,ララガーデン春日部店,1402-2183-5840,34,341-443221(14-01),WPJﾌﾘｰｽｵｰﾊﾞｰｻｲｽﾞPO,千葉DC,0
2021/10/14,14.埼玉TC,1216,ララガーデン春日部店,1402-2183-7200,34,341-443221(14-01),WPJﾌﾘｰｽｵｰﾊﾞｰｻｲｽﾞPO,千葉DC,0
2021/10/14,14.埼玉TC,1216,ララガーデン春日部店,1402-2183-7210,34,341-443221(14-01),WPJﾌﾘｰｽｵｰﾊﾞｰｻｲｽﾞPO,千葉DC,0
2021/10/14,14.埼玉TC,1216,ララガーデン春日部店,1402-2183-7220,34,341-443221(14-01),WPJﾌﾘｰｽｵｰﾊﾞｰｻｲｽﾞPO,千葉DC,0
2021/10/14,14.埼玉TC,1216,ララガーデン春日部店,1402-2183-8580,34,341-443221(14-01),WPJﾌﾘｰｽｵｰﾊﾞｰｻｲｽﾞPO,千葉DC,0
2021/10/14,14.埼玉TC,1216,ララガーデン春日部店,1402-2183-8590,34,341-443221(14-01),WPJﾌﾘｰｽｵｰﾊﾞｰｻｲｽﾞPO,千葉DC,0
2021/10/14,14.埼玉TC,1216,ララガーデン春日部店,1402-2183-8600,34,341-443221(14-01),WPJﾌﾘｰｽｵｰﾊﾞｰｻｲｽﾞPO,千葉DC,0
2021/10/14,14.埼玉TC,1216,ララガーデン春日部店,1402-2184-0240,14,142-443327(14-16),K WPJﾌﾘｰｽﾓｯｸﾈｯｸﾌﾟﾙｵｰﾊﾞ-,千葉DC,0
2021/10/14,14.埼玉TC,1216,ララガーデン春日部店,1402-2184-0570,14,142-443327(14-16),K WPJﾌﾘｰｽﾓｯｸﾈｯｸﾌﾟﾙｵｰﾊﾞ-,千葉DC,0
2021/10/14,14.埼玉TC,1216,ララガーデン春日部店,1402-2184-0900,14,142-443327(14-16),K WPJﾌﾘｰｽﾓｯｸﾈｯｸﾌﾟﾙｵｰﾊﾞ-,千葉DC,0
2021/10/14,14.埼玉TC,1216,ララガーデン春日部店,1402-2184-1230,14,142-443327(14-16),K WPJﾌﾘｰｽﾓｯｸﾈｯｸﾌﾟﾙｵｰﾊﾞ-,千葉DC,0
2021/10/14,14.埼玉TC,1216,ララガーデン春日部店,1402-2184-2180,21,211-443185(14-01),W WPJﾊｲﾌﾞﾘｯﾄﾞﾀﾞｳﾝｵｰﾊﾞｰPK,千葉DC,0
2021/10/14,14.埼玉TC,1216,ララガーデン春日部店,1402-2184-2410,21,211-443185(14-01),W WPJﾊｲﾌﾞﾘｯﾄﾞﾀﾞｳﾝｵｰﾊﾞｰPK,千葉DC,0
2021/10/14,14.埼玉TC,1216,ララガーデン春日部店,1402-2184-2420,21,211-443185(14-01),W WPJﾊｲﾌﾞﾘｯﾄﾞﾀﾞｳﾝｵｰﾊﾞｰPK,千葉DC,0
2021/10/14,14.埼玉TC,1216,ララガーデン春日部店,1402-2184-2690,21,211-443185(14-01),W WPJﾊｲﾌﾞﾘｯﾄﾞﾀﾞｳﾝｵｰﾊﾞｰPK,千葉DC,0
2021/10/14,14.埼玉TC,1216,ララガーデン春日部店,1402-2184-3460,11,112-443324(14-05),K WPJｳｫｰﾑﾊﾟﾃﾞｯﾄﾊﾟｰｶ,千葉DC,0
2021/10/14,14.埼玉TC,1216,ララガーデン春日部店,1402-2184-3890,11,112-443324(14-05),K WPJｳｫｰﾑﾊﾟﾃﾞｯﾄﾊﾟｰｶ,千葉DC,0
2021/10/14,14.埼玉TC,1216,ララガーデン春日部店,1402-2184-4390,11,112-443324(14-05),K WPJｳｫｰﾑﾊﾟﾃﾞｯﾄﾊﾟｰｶ,千葉DC,0
2021/10/14,14.埼玉TC,1216,ララガーデン春日部店,1402-2184-4930,34,341-442882(14-26),WPJﾌﾘｰｽｵｰﾊﾞｰｻｲｽﾞJK,千葉DC,0
2021/10/14,14.埼玉TC,1216,ララガーデン春日部店,1402-2184-5440,34,341-442882(14-26),WPJﾌﾘｰｽｵｰﾊﾞｰｻｲｽﾞJK,千葉DC,0
2021/10/14,14.埼玉TC,1216,ララガーデン春日部店,1402-2185-8890,24,241-443226(14-12),W WPJﾌﾘｰｽｵｰﾊﾞｰｻｲｽﾞﾓｯｸPO,千葉DC,0
2021/10/14,14.埼玉TC,1216,ララガーデン春日部店,1402-2185-9300,24,241-443226(14-12),W WPJﾌﾘｰｽｵｰﾊﾞｰｻｲｽﾞﾓｯｸPO,千葉DC,0
2021/10/14,14.埼玉TC,1216,ララガーデン春日部店,1402-2185-9310,24,241-443226(14-12),W WPJﾌﾘｰｽｵｰﾊﾞｰｻｲｽﾞﾓｯｸPO,千葉DC,0
2021/10/14,14.埼玉TC,1216,ララガーデン春日部店,1402-2185-9650,24,241-443226(14-12),W WPJﾌﾘｰｽｵｰﾊﾞｰｻｲｽﾞﾓｯｸPO,千葉DC,0
2021/10/14,14.埼玉TC,1216,ララガーデン春日部店,1402-2185-9660,24,241-443226(14-12),W WPJﾌﾘｰｽｵｰﾊﾞｰｻｲｽﾞﾓｯｸPO,千葉DC,0
2021/10/14,14.埼玉TC,1216,ララガーデン春日部店,1402-2187-1630,34,341-442882(14-26),WPJﾌﾘｰｽｵｰﾊﾞｰｻｲｽﾞJK,千葉DC,0
2021/10/14,14.埼玉TC,1216,ララガーデン春日部店,1402-2187-2150,34,341-442882(14-26),WPJﾌﾘｰｽｵｰﾊﾞｰｻｲｽﾞJK,千葉DC,0
2021/10/14,14.埼玉TC,1216,ララガーデン春日部店,1402-2187-5180,27,271-435586(11-01),Wﾜｲﾔﾚｽﾌﾞﾗ(ｼｪｲﾌﾟﾘﾌﾄ),千葉DC,0
2021/10/14,14.埼玉TC,1216,ララガーデン春日部店,1402-2187-6810,27,271-438966(13-01),Wﾜｲﾔﾚｽﾌﾞﾗ(ﾘﾗｯｸｽ),千葉DC,0
2021/10/14,14.埼玉TC,1216,ララガーデン春日部店,1402-2187-8550,34,341-440524(14-01),ｿﾌﾄﾀｯﾁｸﾙｰﾈｯｸT(L),千葉DC,0
2021/10/14,14.埼玉TC,1216,ララガーデン春日部店,1402-2187-9940,34,341-440524(14-38),ｿﾌﾄﾀｯﾁｸﾙｰﾈｯｸT(L),千葉DC,0
2021/10/14,14.埼玉TC,1216,ララガーデン春日部店,1402-2188-0650,14,141-443326(14-07),K WPJﾌﾘｰｽﾌﾟﾙｵｰﾊﾞ-(L),千葉DC,0
2021/10/14,14.埼玉TC,1216,ララガーデン春日部店,1402-2188-1160,14,141-443326(14-07),K WPJﾌﾘｰｽﾌﾟﾙｵｰﾊﾞ-(L),千葉DC,0
2021/10/14,14.埼玉TC,1216,ララガーデン春日部店,1402-2188-1780,14,141-443326(14-07),K WPJﾌﾘｰｽﾌﾟﾙｵｰﾊﾞ-(L),千葉DC,0
2021/10/14,14.埼玉TC,1216,ララガーデン春日部店,1402-2188-1790,14,141-443326(14-07),K WPJﾌﾘｰｽﾌﾟﾙｵｰﾊﾞ-(L),千葉DC,0
2021/10/14,14.埼玉TC,1216,ララガーデン春日部店,1402-2188-2650,24,241-439138(14-15),Wﾌｧｰﾘｰﾌﾘｰｽﾌﾙｼﾞｯﾌﾟｼﾞｬｹｯﾄ,千葉DC,0
2021/10/14,14.埼玉TC,1216,ララガーデン春日部店,1402-2188-3600,27,271-438987(13-02),Wｼｮｰﾂ(JW)(ﾄﾞｯﾄ),千葉DC,0
2021/10/14,14.埼玉TC,1216,ララガーデン春日部店,1402-2188-3810,27,271-438988(13-02),Wｼｮｰﾂ(JW)(ﾐﾆﾌﾗﾜｰ),千葉DC,0
2021/10/14,14.埼玉TC,1216,ララガーデン春日部店,1402-2188-3820,27,271-438988(13-02),Wｼｮｰﾂ(JW)(ﾐﾆﾌﾗﾜｰ),千葉DC,0
2021/10/14,14.埼玉TC,1216,ララガーデン春日部店,1402-2188-5450,34,341-443221(14-01),WPJﾌﾘｰｽｵｰﾊﾞｰｻｲｽﾞPO,千葉DC,0
2021/10/14,14.埼玉TC,1216,ララガーデン春日部店,1402-2188-5900,34,341-443221(14-01),WPJﾌﾘｰｽｵｰﾊﾞｰｻｲｽﾞPO,千葉DC,0
2021/10/14,14.埼玉TC,1216,ララガーデン春日部店,1402-2188-6230,34,341-443221(14-01),WPJﾌﾘｰｽｵｰﾊﾞｰｻｲｽﾞPO,千葉DC,0
2021/10/14,14.埼玉TC,1216,ララガーデン春日部店,1402-2188-6700,34,341-443221(14-01),WPJﾌﾘｰｽｵｰﾊﾞｰｻｲｽﾞPO,千葉DC,0
2021/10/14,14.埼玉TC,1216,ララガーデン春日部店,1402-2788-8940,21,211-442878(13-09),WﾎﾟｹｯﾀﾌﾞﾙUVｶｯﾄﾊﾟｰｶ,千葉DC,0
2021/10/14,14.埼玉TC,1216,ララガーデン春日部店,1402-2789-0880,34,341-440535(14-01),ﾌﾘｰｽﾌﾟﾙｵｰﾊﾞｰ(L) A,千葉DC,0
2021/10/14,14.埼玉TC,1216,ララガーデン春日部店,1402-2789-1000,24,241-442515(13-01),W Uｽｳｪｯﾄｸﾙｰﾈｯｸｼｬﾂ(L)+,千葉DC,0
2021/10/14,14.埼玉TC,1216,ララガーデン春日部店,1402-2789-1420,32,321-439183(13-18),ｳﾙﾄﾗｽﾄﾚｯﾁｽｷﾆｰﾌｨｯﾄｶﾗｰJ,千葉DC,0
2021/10/14,14.埼玉TC,1216,ララガーデン春日部店,1402-2789-1870,34,341-435102(11-02),USﾄﾞﾗｲｽｳｪｯﾄﾌﾟﾙﾊﾟｰｶ(L),千葉DC,0
2021/10/14,14.埼玉TC,1216,ララガーデン春日部店,1402-2789-2820,27,271-428493(04-36),WﾋｰﾄﾃｯｸUﾈｯｸT(8)20FW,千葉DC,0
2021/10/14,14.埼玉TC,1216,ララガーデン春日部店,1402-2789-3100,14,142-442205(14-16),Kﾌｧｰﾘｰﾌﾘｰｽﾍﾞｽﾄ,千葉DC,0
2021/10/14,14.埼玉TC,1216,ララガーデン春日部店,1402-2789-3760,37,371-432513(04-01),UﾋｰﾄﾃｯｸｺｯﾄﾝｸﾙｰﾈｯｸT(L),千葉DC,0
2021/10/14,14.埼玉TC,1216,ララガーデン春日部店,1402-2789-6360,34,341-433026(12-10),ﾄﾞﾗｲｶﾗｰVﾈｯｸT(S),千葉DC,0
2021/10/14,14.埼玉TC,1216,ララガーデン春日部店,1402-2789-6550,34,341-440532(13-52),ｽｳｪｯﾄﾌﾙｼﾞｯﾌﾟﾊﾟｰｶ(L),千葉DC,0
2021/10/14,14.埼玉TC,1216,ララガーデン春日部店,1402-2789-7030,18,182-440359(13-13),BTｺｯﾄﾝﾌﾗｲｽｲﾝﾅｰT(S)3Pﾄﾞｯﾄ,千葉DC,0
2021/10/14,14.埼玉TC,1216,ララガーデン春日部店,1402-2789-9470,24,241-445821(13-18),Wﾙｰｳﾞﾙｽｳｪｯﾄｼｬﾂ(L) A,千葉DC,0
2021/10/14,14.埼玉TC,1216,ララガーデン春日部店,1402-2790-0860,27,271-432460(12-27),Wｴｱﾘｽﾞﾑｷｬﾐｿｰﾙ,千葉DC,0
