日付,エリア,店番,店名,管理番号,部門,代表商品,代表商品名,振出店名,不足フラグ
2021/09/06,14.埼玉TC,1471,秩父店,1402-2150-2050,37,371-441886(13-16),ﾊﾟｲﾙﾒｯｼｭｼｮｰﾄｿｯｸｽ,千葉DC,0
2021/09/06,14.埼玉TC,1471,秩父店,1402-2150-7670,24,241-439138(14-15),Wﾌｧｰﾘｰﾌﾘｰｽﾌﾙｼﾞｯﾌﾟｼﾞｬｹｯﾄ,千葉DC,0
2021/09/06,14.埼玉TC,1471,秩父店,1402-2150-7840,24,241-439138(14-15),Wﾌｧｰﾘｰﾌﾘｰｽﾌﾙｼﾞｯﾌﾟｼﾞｬｹｯﾄ,千葉DC,0
2021/09/06,14.埼玉TC,1471,秩父店,1402-2150-8010,24,241-439138(14-15),Wﾌｧｰﾘｰﾌﾘｰｽﾌﾙｼﾞｯﾌﾟｼﾞｬｹｯﾄ,千葉DC,0
2021/09/06,14.埼玉TC,1471,秩父店,1402-2150-8180,24,241-439138(14-15),Wﾌｧｰﾘｰﾌﾘｰｽﾌﾙｼﾞｯﾌﾟｼﾞｬｹｯﾄ,千葉DC,0
2021/09/06,14.埼玉TC,1471,秩父店,1402-2150-8330,24,241-439138(14-15),Wﾌｧｰﾘｰﾌﾘｰｽﾌﾙｼﾞｯﾌﾟｼﾞｬｹｯﾄ,千葉DC,0
2021/09/06,14.埼玉TC,1471,秩父店,1402-2151-1550,29,291-440660(14-08),WﾒﾘﾉﾌﾞﾚﾝﾄﾞAﾗｲﾝﾜﾝﾋﾟｰｽ(L),千葉DC,0
2021/09/06,14.埼玉TC,1471,秩父店,1402-2151-1740,29,291-440660(14-08),WﾒﾘﾉﾌﾞﾚﾝﾄﾞAﾗｲﾝﾜﾝﾋﾟｰｽ(L),千葉DC,0
2021/09/06,14.埼玉TC,1471,秩父店,1402-2151-5860,18,181-440629(14-01),BNﾃﾞｨｽﾞﾆｰｷﾙﾄｶﾊﾞｰｵｰﾙ(L)A,千葉DC,0
2021/09/06,14.埼玉TC,1471,秩父店,1402-2151-7920,18,182-439946(14-07),BTﾃﾞｨｽﾞﾆｰｷﾙﾄﾊﾟｼﾞｬﾏ(L)A,千葉DC,0
2021/09/06,14.埼玉TC,1471,秩父店,1402-2151-8270,18,181-443299(14-05),BNﾃﾞｨｽﾞﾆｰｷﾙﾄｶﾊﾞｰｵｰﾙ(L)B,千葉DC,0
2021/09/06,14.埼玉TC,1471,秩父店,1402-2151-8620,29,291-439753(13-28),WｿﾌﾄﾌﾗﾝﾈﾙﾌﾚｱOP(L),千葉DC,0
2021/09/06,14.埼玉TC,1471,秩父店,1402-2151-8800,29,291-439753(13-31),WｿﾌﾄﾌﾗﾝﾈﾙﾌﾚｱOP(L),千葉DC,0
2021/09/06,14.埼玉TC,1471,秩父店,1402-2151-8980,29,291-443422(13-27),WｿﾌﾄﾌﾗﾝﾈﾙﾌﾚｱOP(L)CK,千葉DC,0
2021/09/06,14.埼玉TC,1471,秩父店,1402-2151-9220,29,291-443422(13-28),WｿﾌﾄﾌﾗﾝﾈﾙﾌﾚｱOP(L)CK,千葉DC,0
2021/09/06,14.埼玉TC,1471,秩父店,1402-2152-0630,18,182-443308(14-09),BTﾃﾞｨｽﾞﾆｰｷﾙﾄﾊﾟｼﾞｬﾏ(L)B,千葉DC,0
2021/09/06,14.埼玉TC,1471,秩父店,1402-2152-1350,34,341-435806(12-35),UｴｱﾘｽﾞﾑｺｯﾄﾝｵｰﾊﾞｰｻｲｽﾞT(5),千葉DC,0
2021/09/06,14.埼玉TC,1471,秩父店,1402-2152-2900,34,341-440524(14-01),ｿﾌﾄﾀｯﾁｸﾙｰﾈｯｸT(L),千葉DC,0
2021/09/06,14.埼玉TC,1471,秩父店,1402-2152-3460,34,341-440524(14-01),ｿﾌﾄﾀｯﾁｸﾙｰﾈｯｸT(L),千葉DC,0
2021/09/06,14.埼玉TC,1471,秩父店,1402-2152-4050,34,341-440593(14-37),ﾌｧｰﾘｰﾌﾘｰｽﾌﾙｼﾞｯﾌﾟJK(L),千葉DC,0
2021/09/06,14.埼玉TC,1471,秩父店,1402-2152-5680,34,341-440592(14-01),ﾌﾘｰｽﾌﾙｼﾞｯﾌﾟｼﾞｬｹｯﾄ(L),千葉DC,0
2021/09/06,14.埼玉TC,1471,秩父店,1402-2152-6230,34,341-440592(14-01),ﾌﾘｰｽﾌﾙｼﾞｯﾌﾟｼﾞｬｹｯﾄ(L),千葉DC,0
2021/09/06,14.埼玉TC,1471,秩父店,1402-2152-6730,34,341-440592(14-01),ﾌﾘｰｽﾌﾙｼﾞｯﾌﾟｼﾞｬｹｯﾄ(L),千葉DC,0
2021/09/06,14.埼玉TC,1471,秩父店,1402-2152-7230,34,341-440592(14-01),ﾌﾘｰｽﾌﾙｼﾞｯﾌﾟｼﾞｬｹｯﾄ(L),千葉DC,0
