日付,店番,受領フラグ,受領時間,ドライバー名,完了時間,納品予定数,納品数,不足数
2021/09/10,626,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/10,642,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/10,666,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/10,691,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/10,700003,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/10,700020,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/10,700030,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/10,700065,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/10,700130,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/10,700226,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/10,700230,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/10,700231,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/10,700243,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/10,700245,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/10,748,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/10,827003,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/10,828003,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/10,832,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/10,834,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/10,885,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/10,896,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/10,911,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/10,GU_121,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/10,GU_1216,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/10,GU_1220,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/10,GU_1223,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/10,GU_123,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/10,GU_1232,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/10,GU_1235,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/10,GU_1237,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/10,GU_1238,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/10,GU_1241,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/10,GU_1245,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/10,GU_1247,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/10,GU_1251,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/10,GU_1263,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/10,GU_163,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/10,GU_176,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/10,GU_193,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/10,GU_197,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/10,GU_444,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/10,GU_445,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/10,GU_447,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/10,GU_452,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/10,GU_478,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/10,GU_484,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/10,GU_490,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/10,GU_529,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/10,GU_542,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/10,GU_559,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/10,GU_582,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/10,GU_583,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/10,GU_585,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
