日付,エリア,店番,店名,管理番号,部門,代表商品,代表商品名,振出店名,不足フラグ
2021/12/11,64.GU埼玉TC,GU_121,モラージュ菖蒲店,6401-2219-2970,,,,,0
2021/12/11,64.GU埼玉TC,GU_121,モラージュ菖蒲店,6401-2219-3240,,,,,0
2021/12/11,64.GU埼玉TC,GU_121,モラージュ菖蒲店,6401-2219-3510,,,,,0
2021/12/11,64.GU埼玉TC,GU_121,モラージュ菖蒲店,6401-2219-3780,,,,,0
2021/12/11,64.GU埼玉TC,GU_121,モラージュ菖蒲店,6401-2223-3410,,,,,0
2021/12/11,64.GU埼玉TC,GU_121,モラージュ菖蒲店,6401-2223-3750,,,,,0
2021/12/11,64.GU埼玉TC,GU_121,モラージュ菖蒲店,6401-2223-4090,22,221-338558(21-01),Wﾊｲｳｴｽﾄｾﾐﾜｲﾄﾞｼﾞｰﾝｽﾞ,MGL市原(GU),0
2021/12/11,64.GU埼玉TC,GU_121,モラージュ菖蒲店,6401-2223-4430,,,,,0
2021/12/11,64.GU埼玉TC,GU_121,モラージュ菖蒲店,6401-2223-4770,22,221-338558(21-01),Wﾊｲｳｴｽﾄｾﾐﾜｲﾄﾞｼﾞｰﾝｽﾞ,MGL市原(GU),0
2021/12/11,64.GU埼玉TC,GU_121,モラージュ菖蒲店,6401-2223-5110,,,,,0
2021/12/11,64.GU埼玉TC,GU_121,モラージュ菖蒲店,6401-2223-5450,,,,,0
2021/12/11,64.GU埼玉TC,GU_121,モラージュ菖蒲店,6401-2223-5790,,,,,0
2021/12/11,64.GU埼玉TC,GU_121,モラージュ菖蒲店,6401-2223-6130,,,,,0
2021/12/11,64.GU埼玉TC,GU_121,モラージュ菖蒲店,6401-2223-6470,37,371-339050(21-01),ﾎﾞｸｻｰﾊﾟﾝﾂ(RR),MGL市原(GU),0
2021/12/11,64.GU埼玉TC,GU_121,モラージュ菖蒲店,6401-2223-6810,37,371-339058(21-01),ﾎﾞｸｻｰﾊﾟﾝﾂ(RR)(ｲﾇ),MGL市原(GU),0
2021/12/11,64.GU埼玉TC,GU_121,モラージュ菖蒲店,6401-2223-7150,37,371-339076(21-01),ﾌﾊｸﾄﾗﾝｸｽ+,MGL市原(GU),0
2021/12/11,64.GU埼玉TC,GU_121,モラージュ菖蒲店,6401-2223-7420,37,371-339076(21-01),ﾌﾊｸﾄﾗﾝｸｽ+,MGL市原(GU),0
2021/12/11,64.GU埼玉TC,GU_121,モラージュ菖蒲店,6401-2223-7690,37,371-339076(21-01),ﾌﾊｸﾄﾗﾝｸｽ+,MGL市原(GU),0
2021/12/11,64.GU埼玉TC,GU_121,モラージュ菖蒲店,6401-2223-7960,23,231-339812(21-01),WｷﾞｬｻﾞｰｷﾘｶｴｼｬﾂOP(L),MGL市原(GU),0
2021/12/11,64.GU埼玉TC,GU_121,モラージュ菖蒲店,6401-2223-7970,23,231-339812(21-01),WｷﾞｬｻﾞｰｷﾘｶｴｼｬﾂOP(L),MGL市原(GU),0
2021/12/11,64.GU埼玉TC,GU_121,モラージュ菖蒲店,6401-2223-8490,23,231-339812(21-01),WｷﾞｬｻﾞｰｷﾘｶｴｼｬﾂOP(L),MGL市原(GU),0
2021/12/11,64.GU埼玉TC,GU_121,モラージュ菖蒲店,6401-2223-8980,,,,,0
2021/12/11,64.GU埼玉TC,GU_121,モラージュ菖蒲店,6401-2223-9320,,,,,0
2021/12/11,64.GU埼玉TC,GU_121,モラージュ菖蒲店,6401-2223-9660,22,221-338558(21-01),Wﾊｲｳｴｽﾄｾﾐﾜｲﾄﾞｼﾞｰﾝｽﾞ,MGL市原(GU),0
2021/12/11,64.GU埼玉TC,GU_121,モラージュ菖蒲店,6401-2224-0000,22,221-338558(21-01),Wﾊｲｳｴｽﾄｾﾐﾜｲﾄﾞｼﾞｰﾝｽﾞ,MGL市原(GU),0
2021/12/11,64.GU埼玉TC,GU_121,モラージュ菖蒲店,6401-2224-0340,22,221-338591(21-02),Wｶｯﾄｿｰｶﾗｰﾌﾚｱｽﾗｯｸｽ,MGL市原(GU),0
2021/12/11,64.GU埼玉TC,GU_121,モラージュ菖蒲店,6401-2224-0680,22,221-338591(21-02),Wｶｯﾄｿｰｶﾗｰﾌﾚｱｽﾗｯｸｽ,MGL市原(GU),0
2021/12/11,64.GU埼玉TC,GU_121,モラージュ菖蒲店,6401-2224-1010,25,251-341072(21-01),WｺｯﾄﾝBDﾜｯﾌﾙﾎﾞｰﾀﾞｰｾｰﾀｰ(L),MGL市原(GU),0
2021/12/11,64.GU埼玉TC,GU_121,モラージュ菖蒲店,6401-2224-1280,25,251-341072(21-01),WｺｯﾄﾝBDﾜｯﾌﾙﾎﾞｰﾀﾞｰｾｰﾀｰ(L),MGL市原(GU),0
2021/12/11,64.GU埼玉TC,GU_121,モラージュ菖蒲店,6401-2224-1720,22,221-338558(21-09),Wﾊｲｳｴｽﾄｾﾐﾜｲﾄﾞｼﾞｰﾝｽﾞ,MGL市原(GU),0
2021/12/11,64.GU埼玉TC,GU_121,モラージュ菖蒲店,6401-2224-1730,22,221-338558(21-09),Wﾊｲｳｴｽﾄｾﾐﾜｲﾄﾞｼﾞｰﾝｽﾞ,MGL市原(GU),0
2021/12/11,64.GU埼玉TC,GU_121,モラージュ菖蒲店,6401-2224-2410,,,,,0
2021/12/11,64.GU埼玉TC,GU_121,モラージュ菖蒲店,6401-2224-2760,22,221-338591(21-05),Wｶｯﾄｿｰｶﾗｰﾌﾚｱｽﾗｯｸｽ,MGL市原(GU),0
2021/12/11,64.GU埼玉TC,GU_121,モラージュ菖蒲店,6401-2224-3300,27,271-338982(21-01),WﾌﾞﾗﾌｨｰﾙBTｷｬﾐｿｰﾙ,MGL市原(GU),0
2021/12/11,64.GU埼玉TC,GU_121,モラージュ菖蒲店,6401-2224-3800,,,,,0
2021/12/11,64.GU埼玉TC,GU_121,モラージュ菖蒲店,6401-2224-4120,,,,,0
2021/12/11,64.GU埼玉TC,GU_121,モラージュ菖蒲店,6401-2224-4440,,,,,0
2021/12/11,64.GU埼玉TC,GU_121,モラージュ菖蒲店,6401-2224-4760,,,,,0
2021/12/11,64.GU埼玉TC,GU_121,モラージュ菖蒲店,6401-2224-5080,,,,,0
2021/12/11,64.GU埼玉TC,GU_121,モラージュ菖蒲店,6401-2224-5480,35,351-328119(04-06),ｽｳｪｯﾄﾗｲｸｸﾙｰﾈｯｸｾｰﾀｰL20WI,MGL市原(GU),0
2021/12/11,64.GU埼玉TC,GU_121,モラージュ菖蒲店,6401-2224-5510,27,271-332008(11-01),Wｶﾊﾞｰｿｯｸｽ3PB(ｽﾍﾞﾘﾄﾞﾒﾂｷ),MGL市原(GU),0
2021/12/11,64.GU埼玉TC,GU_121,モラージュ菖蒲店,6401-2224-5810,33,331-335191(14-01),ﾌﾗﾝﾈﾙﾘﾗｯｸｽﾌｨｯﾄBCｼｬﾂ(L),MGL市原(GU),0
