日付,店番,受領フラグ,受領時間,ドライバー名,完了時間,納品予定数,納品数,不足数
2021/09/13,1029,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/13,1045,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/13,1046,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/13,1050,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/13,1054,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/13,1060,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/13,1064,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/13,1073,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/13,1076,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/13,1078,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/13,1087,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/13,1089,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/13,1108,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/13,1113,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/13,1124,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/13,1147,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/13,1148,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/13,1156,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/13,1167,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/13,1176,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/13,1205,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/13,1211,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/13,1216,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/13,1218,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/13,1237,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
