日付,店番,受領フラグ,受領時間,ドライバー名,完了時間,納品予定数,納品数,不足数
2021/09/09,1029,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/09,1045,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/09,1046,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/09,1050,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/09,1054,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/09,1060,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/09,1064,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/09,1073,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/09,1076,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/09,1078,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/09,1087,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/09,1089,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/09,1108,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/09,1113,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/09,1124,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/09,1147,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/09,1148,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/09,1156,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/09,1167,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/09,1176,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/09,1205,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/09,1211,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/09,1216,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/09,1218,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/09,1237,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/09,1238,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/09,1239,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/09,1240,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/09,1253,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/09,1254,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/09,1260,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/09,1261,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/09,1273,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/09,1279,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/09,1285,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/09,1288,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/09,1295,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/09,1299,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/09,1303,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/09,1323,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/09,1324,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/09,1326,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/09,1336,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/09,1340,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/09,1349,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/09,1351,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/09,1361,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/09,1362,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/09,1365,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/09,1368,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/09,1375,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/09,1387,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/09,1400,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/09,1402,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/09,1441,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/09,1455,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/09,1463,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/09,1466,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/09,1467,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/09,1468,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/09,1471,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/09,1475,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/09,1481,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/09,1486,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/09,1495,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
