日付,エリア,店番,店名,管理番号,部門,代表商品,代表商品名,振出店名,不足フラグ
2021/11/04,14.埼玉TC,3136,イーアスつくば店,1401-0507-2040,35,351-438780(13-10),ｽﾌﾚﾔｰﾝﾊｰﾌｼﾞｯﾌﾟｾｰﾀｰ(L),大阪DC（自）,0
2021/11/04,14.埼玉TC,3136,イーアスつくば店,1401-0507-2060,35,351-438780(13-10),ｽﾌﾚﾔｰﾝﾊｰﾌｼﾞｯﾌﾟｾｰﾀｰ(L),大阪DC（自）,0
2021/11/04,14.埼玉TC,3136,イーアスつくば店,1401-0507-2110,35,351-438780(13-10),ｽﾌﾚﾔｰﾝﾊｰﾌｼﾞｯﾌﾟｾｰﾀｰ(L),大阪DC（自）,0
2021/11/04,14.埼玉TC,3136,イーアスつくば店,1401-0507-2120,35,351-438780(13-10),ｽﾌﾚﾔｰﾝﾊｰﾌｼﾞｯﾌﾟｾｰﾀｰ(L),大阪DC（自）,0
2021/11/04,14.埼玉TC,3136,イーアスつくば店,1402-2215-7980,34,341-433052(11-08),USﾄﾞﾗｲｽｳｪｯﾄﾊﾟﾝﾂ,千葉DC,0
2021/11/04,14.埼玉TC,3136,イーアスつくば店,1402-2215-8030,27,271-438939(14-01),WﾋｰﾄﾃｯｸｸﾙｰﾈｯｸT(L),千葉DC,0
2021/11/04,14.埼玉TC,3136,イーアスつくば店,1402-2215-8630,37,371-441613(14-01),ﾋｰﾄﾃｯｸﾀｲﾂ,千葉DC,0
2021/11/04,14.埼玉TC,3136,イーアスつくば店,1402-2215-9360,34,341-440524(14-01),ｿﾌﾄﾀｯﾁｸﾙｰﾈｯｸT(L),千葉DC,0
2021/11/04,14.埼玉TC,3136,イーアスつくば店,1402-2215-9460,34,341-440526(14-01),ｿﾌﾄﾀｯﾁﾀｰﾄﾙﾈｯｸT(L),千葉DC,0
2021/11/04,14.埼玉TC,3136,イーアスつくば店,1402-2215-9630,24,241-439063(13-01),WｽﾑｰｽｽﾄﾚｯﾁｺｯﾄﾝﾀｰﾄﾙﾈｯｸT(L,千葉DC,0
2021/11/04,14.埼玉TC,3136,イーアスつくば店,1402-2215-9860,34,341-440526(14-01),ｿﾌﾄﾀｯﾁﾀｰﾄﾙﾈｯｸT(L),千葉DC,0
2021/11/04,14.埼玉TC,3136,イーアスつくば店,1402-2215-9990,27,271-439534(14-08),WﾋｰﾄﾃｯｸﾌﾞﾗUﾈｯｸT(8),千葉DC,0
2021/11/04,14.埼玉TC,3136,イーアスつくば店,1402-2216-0010,37,371-443105(14-09),ﾋｰﾄﾃｯｸｺｯﾄﾝﾀｲﾂ (EXW),千葉DC,0
2021/11/04,14.埼玉TC,3136,イーアスつくば店,1402-2216-0410,37,371-443105(14-10),ﾋｰﾄﾃｯｸｺｯﾄﾝﾀｲﾂ (EXW),千葉DC,0
2021/11/04,14.埼玉TC,3136,イーアスつくば店,1402-2216-0420,37,371-443105(14-10),ﾋｰﾄﾃｯｸｺｯﾄﾝﾀｲﾂ (EXW),千葉DC,0
2021/11/04,14.埼玉TC,3136,イーアスつくば店,1402-2216-0860,37,371-443104(14-25),ﾋｰﾄﾃｯｸｺｯﾄﾝVﾈｯｸT(9) (EXW),千葉DC,0
2021/11/04,14.埼玉TC,3136,イーアスつくば店,1402-2216-0870,37,371-443104(14-25),ﾋｰﾄﾃｯｸｺｯﾄﾝVﾈｯｸT(9) (EXW),千葉DC,0
2021/11/04,14.埼玉TC,3136,イーアスつくば店,1402-2216-1060,14,141-441843(14-32),Kﾎﾞｱｽｳｪｯﾄﾊﾟﾝﾂ,千葉DC,0
2021/11/04,14.埼玉TC,3136,イーアスつくば店,1402-2216-1460,21,211-440954(14-04),Wｳﾙﾄﾗﾗｲﾄﾀﾞｳﾝｺﾝﾊﾟｸﾄﾍﾞｽﾄ,千葉DC,0
2021/11/04,14.埼玉TC,3136,イーアスつくば店,1402-2216-1610,37,371-441622(14-01),ﾋｰﾄﾃｯｸVﾈｯｸT(9),千葉DC,0
2021/11/04,14.埼玉TC,3136,イーアスつくば店,1402-2216-1830,24,241-440271(14-49),Wｽﾄﾚｯﾁﾌﾘｰｽﾊﾟﾝﾂ,千葉DC,0
2021/11/04,14.埼玉TC,3136,イーアスつくば店,1402-2216-2170,37,371-441620(14-01),ﾋｰﾄﾃｯｸｸﾙｰﾈｯｸT(9),千葉DC,0
2021/11/04,14.埼玉TC,3136,イーアスつくば店,1402-2216-2200,37,371-441620(14-01),ﾋｰﾄﾃｯｸｸﾙｰﾈｯｸT(9),千葉DC,0
