日付,エリア,店番,店名,管理番号,部門,代表商品,代表商品名,振出店名,不足フラグ
2021/08/26,茨城,3136,イーアスつくば店,1402-2143-2070,32,321-433333(11-15),ｽｷﾆｰﾌｨｯﾄﾁﾉ2WAYｽﾄﾚｯﾁ,千葉DC,1
2021/08/26,茨城,3136,イーアスつくば店,1402-2143-2110,37,371-434187(11-13),50ｼｮｸｿｯｸｽ,千葉DC,1
2021/08/26,茨城,3136,イーアスつくば店,1402-2143-2260,27,271-432857(11-01),Wｼｮｰﾂ(JW),千葉DC,0
2021/08/26,茨城,3136,イーアスつくば店,1402-2143-2580,27,271-441286(14-01),WARﾎﾞﾃﾞｨｼｪｲﾊﾟｰﾚｷﾞﾝｽ(10),千葉DC,0
2021/08/26,茨城,3136,イーアスつくば店,1402-2143-3360,24,241-439067(13-07),WﾜｯﾌﾙｸﾙｰﾈｯｸT(L),千葉DC,0
2021/08/26,茨城,3136,イーアスつくば店,1402-2143-3680,27,271-432472(12-25),Wｴｱﾘｽﾞﾑﾌﾞﾗｷｬﾐｿｰﾙ,千葉DC,0
2021/08/26,茨城,3136,イーアスつくば店,1402-2143-3780,24,241-442793(13-14),W ﾎﾞｰﾀﾞｰｵｰﾊﾞｰｻｲｽﾞTｼｬﾂ(L),千葉DC,0
2021/08/26,茨城,3136,イーアスつくば店,1402-2143-3870,24,241-442793(13-16),W ﾎﾞｰﾀﾞｰｵｰﾊﾞｰｻｲｽﾞTｼｬﾂ(L),千葉DC,0
2021/08/26,茨城,3136,イーアスつくば店,1402-2752-6450,18,181-440573(14-17),BNJOP ﾎﾞﾃﾞｨｽｰﾂ(L)1Pｼﾛｸﾏ,千葉DC,0
2021/08/26,茨城,3136,イーアスつくば店,1402-2752-6550,34,341-435102(11-02),USﾄﾞﾗｲｽｳｪｯﾄﾌﾟﾙﾊﾟｰｶ(L),千葉DC,0
2021/08/26,茨城,3136,イーアスつくば店,1402-2752-6710,32,321-439176(13-02),ｳﾙﾄﾗｽﾄﾚｯﾁｽｷﾆｰﾌｨｯﾄJ,千葉DC,0
2021/08/26,茨城,3136,イーアスつくば店,1402-2752-7650,21,211-446131(13-01),W2WAYｽﾄﾚｯﾁｼﾞｬｹｯﾄ,千葉DC,0
2021/08/26,茨城,3136,イーアスつくば店,1402-2752-7840,24,241-440093(13-19),WｽﾄﾚｯﾁWﾌｪｲｽｲｰｼﾞｰﾃｰﾊﾟｰﾄﾞP,千葉DC,0
2021/08/26,茨城,3136,イーアスつくば店,1402-2752-8300,27,271-438977(13-02),Wｴｱﾘｽﾞﾑｳﾙﾄﾗｼｰﾑﾚｽｼｮｰﾂ(HH),千葉DC,0
2021/08/26,茨城,3136,イーアスつくば店,1402-2752-9010,37,371-435797(12-07),ｴｱﾘｽﾞﾑｺｯﾄﾝVﾈｯｸT(S),千葉DC,0
2021/08/26,茨城,3136,イーアスつくば店,1402-2752-9860,34,341-442083(12-15),ﾎﾟｹﾓﾝ x ｱｰﾃｨｽﾄUT(S),千葉DC,0
2021/08/26,茨城,3136,イーアスつくば店,1402-2753-0110,18,182-440657(13-01),BTｴﾎﾝｺﾗﾎﾞﾊﾟｼﾞｬﾏ(L)A,千葉DC,0
2021/08/26,茨城,3136,イーアスつくば店,1402-2753-0300,29,291-439757(13-01),Wｽｳｪｯﾄﾌｰﾃﾞｯﾄﾞﾜﾝﾋﾟｰｽ(L),千葉DC,0
2021/08/26,茨城,3136,イーアスつくば店,1402-2753-0910,34,341-435806(12-35),UｴｱﾘｽﾞﾑｺｯﾄﾝｵｰﾊﾞｰｻｲｽﾞT(5),千葉DC,0
2021/08/26,茨城,3136,イーアスつくば店,1402-2753-1730,34,341-435806(12-35),UｴｱﾘｽﾞﾑｺｯﾄﾝｵｰﾊﾞｰｻｲｽﾞT(5),千葉DC,0
2021/08/26,茨城,3136,イーアスつくば店,1402-2753-1950,32,321-439178(13-07),EZYｳﾙﾄﾗｽﾄﾚｯﾁｼﾞｰﾝｽﾞ,千葉DC,0
2021/08/26,茨城,3136,イーアスつくば店,1402-2753-2560,24,241-439092(13-01),Wｽｳｪｯﾄﾊﾟﾝﾂ,千葉DC,0
2021/08/26,茨城,3136,イーアスつくば店,1402-2753-2920,32,321-433333(11-15),ｽｷﾆｰﾌｨｯﾄﾁﾉ2WAYｽﾄﾚｯﾁ,千葉DC,0
2021/08/26,茨城,3136,イーアスつくば店,1402-2753-3320,27,271-438977(13-02),Wｴｱﾘｽﾞﾑｳﾙﾄﾗｼｰﾑﾚｽｼｮｰﾂ(HH),千葉DC,0
2021/08/26,茨城,3136,イーアスつくば店,1402-2753-3440,17,171-439416(14-01),KﾋｰﾄﾃｯｸﾀｰﾄﾙﾈｯｸT(L)+JP,千葉DC,0
2021/08/26,茨城,3136,イーアスつくば店,1402-2753-3490,12,122-439627(13-06),Gﾌﾟﾘｰﾂﾁｪｯｸｽｶｰﾄ,千葉DC,0
2021/08/26,茨城,3136,イーアスつくば店,1402-2753-3950,32,321-442533(13-09),ｽﾏｰﾄｱﾝｸﾙﾊﾟﾝﾂ(ｺｯﾄﾝ),千葉DC,0
2021/08/26,茨城,3136,イーアスつくば店,1402-2753-4220,37,371-434176(11-12),ｽｰﾋﾟﾏｺｯﾄﾝﾎﾞｸｻｰﾌﾞﾘｰﾌ,千葉DC,0
2021/08/26,茨城,3136,イーアスつくば店,1402-2753-4260,37,371-443348(13-01),ｽｰﾋﾟﾏｺｯﾄﾝｶﾉｺｿｯｸｽ 21SS,千葉DC,0
2021/08/26,茨城,3136,イーアスつくば店,1404-1736-2690,89,896-437784(03-01),ｴｱﾘｽﾞﾑﾏｽｸ,埼玉DC,0
