日付,エリア,店番,店名,管理番号,部門,代表商品,代表商品名,振出店名,不足フラグ
2021/09/09,14.埼玉TC,572,ルミネ大宮店,1401-0503-9690,26,261-443839(13-04),WｸﾏﾉﾌﾟｰｻﾝﾙｰﾑｼｭｰｽﾞA,大阪DC（自）,1
2021/09/09,14.埼玉TC,572,ルミネ大宮店,1401-0503-9700,26,261-443840(13-04),WｸﾏﾉﾌﾟｰｻﾝﾙｰﾑｼｭｰｽﾞB,大阪DC（自）,0
2021/09/09,14.埼玉TC,572,ルミネ大宮店,1402-2154-3120,34,341-440529(13-03),ｽｳｪｯﾄｼｬﾂ(L),千葉DC,0
2021/09/09,14.埼玉TC,572,ルミネ大宮店,1402-2154-3130,34,341-440529(13-03),ｽｳｪｯﾄｼｬﾂ(L),千葉DC,0
2021/09/09,14.埼玉TC,572,ルミネ大宮店,1402-2154-3140,34,341-440529(13-03),ｽｳｪｯﾄｼｬﾂ(L),千葉DC,0
2021/09/09,14.埼玉TC,572,ルミネ大宮店,1402-2154-3300,34,341-440521(13-01),UｸﾙｰﾈｯｸT(L),千葉DC,0
2021/09/09,14.埼玉TC,572,ルミネ大宮店,1402-2154-3590,37,371-443347(13-01),50ｼｮｸｿｯｸｽ (21SS),千葉DC,0
2021/09/09,14.埼玉TC,572,ルミネ大宮店,1402-2154-3600,37,371-443347(13-01),50ｼｮｸｿｯｸｽ (21SS),千葉DC,0
2021/09/09,14.埼玉TC,572,ルミネ大宮店,1402-2154-3610,37,371-443347(13-01),50ｼｮｸｿｯｸｽ (21SS),千葉DC,0
2021/09/09,14.埼玉TC,572,ルミネ大宮店,1402-2154-3620,37,371-443347(13-01),50ｼｮｸｿｯｸｽ (21SS),千葉DC,0
2021/09/09,14.埼玉TC,572,ルミネ大宮店,1402-2154-3760,37,371-441234(13-01),ｽｰﾋﾟﾏｺｯﾄﾝBﾎﾞｸｻｰ,千葉DC,0
2021/09/09,14.埼玉TC,572,ルミネ大宮店,1402-2154-3890,24,241-439067(13-07),WﾜｯﾌﾙｸﾙｰﾈｯｸT(L),千葉DC,0
2021/09/09,14.埼玉TC,572,ルミネ大宮店,1402-2154-5170,34,341-440530(13-50),ｽｳｪｯﾄﾌﾟﾙﾊﾟｰｶ(L),千葉DC,0
2021/09/09,14.埼玉TC,572,ルミネ大宮店,1402-2154-5530,24,241-439062(13-02),WｽﾑｰｽｽﾄﾚｯﾁｺｯﾄﾝｸﾙｰﾈｯｸT(L),千葉DC,0
2021/09/09,14.埼玉TC,572,ルミネ大宮店,1402-2154-6860,34,341-440690(12-17),ﾏﾝｶﾞUT(S)FW(ｷﾒﾂ),千葉DC,0
2021/09/09,14.埼玉TC,572,ルミネ大宮店,1402-2154-7120,24,241-445629(14-06),WﾘﾌﾞﾊｲﾈｯｸT(L),千葉DC,0
2021/09/09,14.埼玉TC,572,ルミネ大宮店,1402-2154-7270,27,271-438966(13-01),Wﾜｲﾔﾚｽﾌﾞﾗ(ﾘﾗｯｸｽ),千葉DC,0
2021/09/09,14.埼玉TC,572,ルミネ大宮店,1402-2154-7280,27,271-438966(13-01),Wﾜｲﾔﾚｽﾌﾞﾗ(ﾘﾗｯｸｽ),千葉DC,0
2021/09/09,14.埼玉TC,572,ルミネ大宮店,1402-2154-7620,27,271-438966(13-01),Wﾜｲﾔﾚｽﾌﾞﾗ(ﾘﾗｯｸｽ),千葉DC,0
2021/09/09,14.埼玉TC,572,ルミネ大宮店,1402-2154-7630,27,271-438966(13-01),Wﾜｲﾔﾚｽﾌﾞﾗ(ﾘﾗｯｸｽ),千葉DC,0
2021/09/09,14.埼玉TC,572,ルミネ大宮店,1402-2154-7640,27,271-438966(13-01),Wﾜｲﾔﾚｽﾌﾞﾗ(ﾘﾗｯｸｽ),千葉DC,0
2021/09/09,14.埼玉TC,572,ルミネ大宮店,1402-2154-8070,24,241-445629(14-06),WﾘﾌﾞﾊｲﾈｯｸT(L),千葉DC,0
2021/09/09,14.埼玉TC,572,ルミネ大宮店,1402-2154-8100,24,241-433746(11-33),Wｽｳｪｯﾄﾌﾙｼﾞｯﾌﾟﾊﾟｰｶ(L),千葉DC,0
