日付,エリア,店番,店名,管理番号,部門,代表商品,代表商品名,振出店名,不足フラグ
2021/09/13,14.埼玉TC,572,ルミネ大宮店,1401-0504-2500,34,341-440521(13-01),UｸﾙｰﾈｯｸT(L),大阪DC（自）,0
2021/09/13,14.埼玉TC,572,ルミネ大宮店,1401-0504-2790,34,341-440521(13-01),UｸﾙｰﾈｯｸT(L),大阪DC（自）,0
2021/09/13,14.埼玉TC,572,ルミネ大宮店,1401-0504-3450,26,261-443839(13-04),WｸﾏﾉﾌﾟｰｻﾝﾙｰﾑｼｭｰｽﾞA,大阪DC（自）,0
2021/09/13,14.埼玉TC,572,ルミネ大宮店,1401-0504-3480,26,261-443840(13-04),WｸﾏﾉﾌﾟｰｻﾝﾙｰﾑｼｭｰｽﾞB,大阪DC（自）,0
2021/09/13,14.埼玉TC,572,ルミネ大宮店,1402-2157-0060,37,371-443111(13-04),Uﾋｰﾄﾃｯｸﾁｬﾝｷｰﾘﾌﾞﾊｲｿｯｸｽ,千葉DC,0
2021/09/13,14.埼玉TC,572,ルミネ大宮店,1402-2157-0540,37,371-443111(13-04),Uﾋｰﾄﾃｯｸﾁｬﾝｷｰﾘﾌﾞﾊｲｿｯｸｽ,千葉DC,0
2021/09/13,14.埼玉TC,572,ルミネ大宮店,1402-2157-3660,32,321-443115(13-19),Uﾜｲﾄﾞﾌｨｯﾄｼﾞｮｶﾞｰﾊﾟﾝﾂ,千葉DC,0
2021/09/13,14.埼玉TC,572,ルミネ大宮店,1402-2157-6760,27,271-443142(14-07),W Uﾋｰﾄﾃｯｸﾘﾌﾞﾆｰﾊｲｿｯｸｽ1P,千葉DC,0
2021/09/13,14.埼玉TC,572,ルミネ大宮店,1402-2157-7630,12,121-441460(13-01),K Uﾜｲﾄﾞﾌｨｯﾄｼﾞｮｶﾞｰﾊﾟﾝﾂ,千葉DC,0
2021/09/13,14.埼玉TC,572,ルミネ大宮店,1402-2157-8680,27,271-443143(14-04),W UHTﾁｬﾝｷｰﾘﾌﾞﾊｲｿｯｸｽ1P,千葉DC,0
2021/09/13,14.埼玉TC,572,ルミネ大宮店,1402-2158-7060,37,371-431621(03-02),ﾊﾟｲﾙﾍﾞﾘｰｼｮｰﾄｿｯｸｽ,千葉DC,0
2021/09/13,14.埼玉TC,572,ルミネ大宮店,1402-2158-7710,27,271-435586(11-01),Wﾜｲﾔﾚｽﾌﾞﾗ(ｼｪｲﾌﾟﾘﾌﾄ),千葉DC,0
2021/09/13,14.埼玉TC,572,ルミネ大宮店,1402-2158-7720,27,271-435586(11-01),Wﾜｲﾔﾚｽﾌﾞﾗ(ｼｪｲﾌﾟﾘﾌﾄ),千葉DC,0
2021/09/13,14.埼玉TC,572,ルミネ大宮店,1402-2158-7740,27,271-432472(12-25),Wｴｱﾘｽﾞﾑﾌﾞﾗｷｬﾐｿｰﾙ,千葉DC,0
2021/09/13,14.埼玉TC,572,ルミネ大宮店,1402-2158-7970,32,321-439180(13-01),ｾﾙﾋﾞｯｼﾞﾚｷﾞｭﾗｰFｽﾄﾚｰﾄJ,千葉DC,0
