日付,店番,受領フラグ,受領時間,ドライバー名,完了時間,納品予定数,納品数,不足数
2021/10/25,1029,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,112,0,0
2021/10/25,1045,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,104,0,0
2021/10/25,1046,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,111,0,0
2021/10/25,1050,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,87,0,0
2021/10/25,1054,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/10/25,1060,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/10/25,1064,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/10/25,1073,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/10/25,1076,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,44,0,0
2021/10/25,1078,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,1,0,0
2021/10/25,1087,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/10/25,1089,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/10/25,1108,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/10/25,1113,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,118,0,0
2021/10/25,1124,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,14,0,0
2021/10/25,1147,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,49,0,0
2021/10/25,1148,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/10/25,1156,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,15,0,0
2021/10/25,1167,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,90,0,0
2021/10/25,1176,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/10/25,1205,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/10/25,1211,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/10/25,1216,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/10/25,1218,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,158,0,0
2021/10/25,1237,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,45,0,0
2021/10/25,1238,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,109,0,0
2021/10/25,1239,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/10/25,1240,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,68,0,0
2021/10/25,1253,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/10/25,1254,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,106,0,0
2021/10/25,1260,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/10/25,1261,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,93,0,0
2021/10/25,1273,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/10/25,1279,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/10/25,1285,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,132,0,0
2021/10/25,1288,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/10/25,1295,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/10/25,1299,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,24,0,0
2021/10/25,1303,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/10/25,1323,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/10/25,1324,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,156,0,0
2021/10/25,1326,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/10/25,1336,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/10/25,1340,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/10/25,1349,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,39,0,0
2021/10/25,1351,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/10/25,1361,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,32,0,0
2021/10/25,1362,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,12,0,0
2021/10/25,1365,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,85,0,0
2021/10/25,1368,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,33,0,0
2021/10/25,1375,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/10/25,1387,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/10/25,1400,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,10,0,0
2021/10/25,1402,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,33,0,0
2021/10/25,1441,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,18,0,0
2021/10/25,1455,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,34,0,0
2021/10/25,1463,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/10/25,1466,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/10/25,1467,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/10/25,1468,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,147,0,0
2021/10/25,1471,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
