日付,エリア,店番,店名,管理番号,部門,代表商品,代表商品名,振出店名,不足フラグ
2021/11/18,64.GU埼玉TC,GU_121,モラージュ菖蒲店,6401-2202-2050,25,251-334713(14-06),Wﾁｬﾝｷｰﾆｯﾄﾊｲﾈｯｸｾｰﾀｰ(L),MGL市原(GU),0
2021/11/18,64.GU埼玉TC,GU_121,モラージュ菖蒲店,6401-2202-2320,25,251-334713(14-06),Wﾁｬﾝｷｰﾆｯﾄﾊｲﾈｯｸｾｰﾀｰ(L),MGL市原(GU),0
2021/11/18,64.GU埼玉TC,GU_121,モラージュ菖蒲店,6401-2202-2580,25,251-334713(14-06),Wﾁｬﾝｷｰﾆｯﾄﾊｲﾈｯｸｾｰﾀｰ(L),MGL市原(GU),0
2021/11/18,64.GU埼玉TC,GU_121,モラージュ菖蒲店,6401-2203-9500,32,321-335333(13-01),ｼｪﾌﾊﾟﾝﾂ(ﾋｯｺﾘｰ1),MGL市原(GU),0
2021/11/18,64.GU埼玉TC,GU_121,モラージュ菖蒲店,6401-2203-9920,32,321-334885(13-02),ｽｳｪｯﾄｲｰｼﾞｰﾊﾟﾝﾂ,MGL市原(GU),0
2021/11/18,64.GU埼玉TC,GU_121,モラージュ菖蒲店,6401-2204-0080,37,371-335928(13-01),ｽﾀｲﾙｵｰｶﾞﾆｯｸｺｯﾄﾝT(L)+,MGL市原(GU),0
2021/11/18,64.GU埼玉TC,GU_121,モラージュ菖蒲店,6401-2204-0480,25,251-334711(14-01),WﾊﾟﾌｨｰﾀｯﾁOSﾊｲﾈｯｸﾁｭﾆｯｸ(L),MGL市原(GU),0
2021/11/18,64.GU埼玉TC,GU_121,モラージュ菖蒲店,6401-2204-0690,25,251-334674(14-01),Wﾓｰﾙﾔｰﾝｸﾙｰﾈｯｸｾｰﾀｰ(L),MGL市原(GU),0
2021/11/18,64.GU埼玉TC,GU_121,モラージュ菖蒲店,6401-2204-0770,25,251-334674(14-01),Wﾓｰﾙﾔｰﾝｸﾙｰﾈｯｸｾｰﾀｰ(L),MGL市原(GU),0
2021/11/18,64.GU埼玉TC,GU_121,モラージュ菖蒲店,6401-2204-1190,32,321-336884(14-01),ｳﾗﾌﾘｰｽﾃﾞﾆﾑｽﾄﾚｯﾁｼﾞｮｶﾞｰPT,MGL市原(GU),0
2021/11/18,64.GU埼玉TC,GU_121,モラージュ菖蒲店,6401-2204-1710,27,272-338107(14-01),WﾏｼｭﾏﾛF4wayﾌﾞﾗﾝｹｯﾄ(ﾊﾟﾝﾀﾞ,MGL市原(GU),0
2021/11/18,64.GU埼玉TC,GU_121,モラージュ菖蒲店,6401-2204-1740,27,271-335063(13-02),Wﾛｰﾗｲｽﾞｼｮｰﾂ3P,MGL市原(GU),0
2021/11/18,64.GU埼玉TC,GU_121,モラージュ菖蒲店,6401-2204-1840,22,221-334812(13-09),Wｽｳｪｯﾄｲｰｼﾞｰﾊﾟﾝﾂ,MGL市原(GU),0
2021/11/18,64.GU埼玉TC,GU_121,モラージュ菖蒲店,6401-2204-2500,22,221-336296(14-07),Wｷﾓｳﾀｯｸﾃｰﾊﾟｰﾄﾞﾊﾟﾝﾂ,MGL市原(GU),0
2021/11/18,64.GU埼玉TC,GU_121,モラージュ菖蒲店,6401-2204-3120,22,221-334809(13-06),Wﾊｲｳｴｽﾄｽｷﾆｰｼﾞｰﾝｽﾞ,MGL市原(GU),0
2021/11/18,64.GU埼玉TC,GU_121,モラージュ菖蒲店,6401-2204-3310,37,371-334906(13-01),ｱﾝｸﾙｿｯｸｽ(ﾗｲﾝ),MGL市原(GU),0
2021/11/18,64.GU埼玉TC,GU_121,モラージュ菖蒲店,6401-2204-3420,33,331-335422(14-01),ｺｰﾃﾞｭﾛｲCPOｼｬﾂ(L),MGL市原(GU),0
2021/11/18,64.GU埼玉TC,GU_121,モラージュ菖蒲店,6401-2204-3450,32,321-335349(14-01),ｳﾗﾌﾘｰｽｽｰﾊﾟｰｽﾄﾚｯﾁｲｰｼﾞｰPT,MGL市原(GU),0
2021/11/18,64.GU埼玉TC,GU_121,モラージュ菖蒲店,6401-2204-3470,32,321-335349(14-01),ｳﾗﾌﾘｰｽｽｰﾊﾟｰｽﾄﾚｯﾁｲｰｼﾞｰPT,MGL市原(GU),0
2021/11/18,64.GU埼玉TC,GU_121,モラージュ菖蒲店,6401-2204-3530,22,221-336296(14-08),Wｷﾓｳﾀｯｸﾃｰﾊﾟｰﾄﾞﾊﾟﾝﾂ,MGL市原(GU),0
2021/11/18,64.GU埼玉TC,GU_121,モラージュ菖蒲店,6401-2204-3630,35,351-337408(14-01),ﾛｰｹﾞｰｼﾞﾀｰﾄﾙﾈｯｸｾｰﾀｰ(L),MGL市原(GU),0
2021/11/18,64.GU埼玉TC,GU_121,モラージュ菖蒲店,6401-2204-4050,37,371-339025(21-01),ﾍﾞﾘｰｼｮｰﾄｿｯｸｽ3P+,MGL市原(GU),0
2021/11/18,64.GU埼玉TC,GU_121,モラージュ菖蒲店,6401-2204-4150,33,331-340683(13-02),CPOｼｬﾂ(L),MGL市原(GU),0
2021/11/18,64.GU埼玉TC,GU_121,モラージュ菖蒲店,6401-2204-4270,22,221-341494(13-01),WﾌﾛﾝﾄﾎﾞﾀﾝｽﾄﾚｰﾄｼﾞｰﾝｽﾞQ,MGL市原(GU),0
2021/11/18,64.GU埼玉TC,GU_121,モラージュ菖蒲店,6401-2204-4700,25,251-334711(14-05),WﾊﾟﾌｨｰﾀｯﾁOSﾊｲﾈｯｸﾁｭﾆｯｸ(L),MGL市原(GU),0
