日付,エリア,店番,店名,管理番号,部門,代表商品,代表商品名,振出店名,不足フラグ
2021/12/23,17.千葉TC,748,千葉旭店,1701-0509-5870,37,372-439594(14-06),ﾆｯﾄﾌﾘｰｽｾｯﾄ (L),大阪DC（自）,0
2021/12/23,17.千葉TC,748,千葉旭店,1701-0509-5880,32,321-439183(13-28),ｳﾙﾄﾗｽﾄﾚｯﾁｽｷﾆｰﾌｨｯﾄｶﾗｰJ,大阪DC（自）,0
2021/12/23,17.千葉TC,748,千葉旭店,1701-0509-5890,35,351-445580(21-02),ｳｫｯｼｬﾌﾞﾙﾐﾗﾉﾘﾌﾞｾｰﾀｰ(L),大阪DC（自）,0
2021/12/23,17.千葉TC,748,千葉旭店,1701-0509-5900,34,341-440524(14-37),ｿﾌﾄﾀｯﾁｸﾙｰﾈｯｸT(L),大阪DC（自）,0
2021/12/23,17.千葉TC,748,千葉旭店,1701-0509-5910,34,341-440593(14-94),ﾌｧｰﾘｰﾌﾘｰｽﾌﾙｼﾞｯﾌﾟJK(L),大阪DC（自）,0
2021/12/23,17.千葉TC,748,千葉旭店,1701-0509-5920,34,341-440593(14-88),ﾌｧｰﾘｰﾌﾘｰｽﾌﾙｼﾞｯﾌﾟJK(L),大阪DC（自）,0
2021/12/23,17.千葉TC,748,千葉旭店,1701-0509-5930,34,341-440593(14-88),ﾌｧｰﾘｰﾌﾘｰｽﾌﾙｼﾞｯﾌﾟJK(L),大阪DC（自）,0
2021/12/23,17.千葉TC,748,千葉旭店,1701-0509-7410,31,311-439999(14-07),ﾊｲﾌﾞﾘｯﾄﾞﾀﾞｳﾝﾊﾟｰｶ,大阪DC（自）,0
2021/12/23,17.千葉TC,748,千葉旭店,1701-0509-7420,37,372-439594(14-06),ﾆｯﾄﾌﾘｰｽｾｯﾄ (L),大阪DC（自）,0
2021/12/23,17.千葉TC,748,千葉旭店,1701-0509-7430,37,372-439594(14-18),ﾆｯﾄﾌﾘｰｽｾｯﾄ (L),大阪DC（自）,0
2021/12/23,17.千葉TC,748,千葉旭店,1701-0509-9180,37,371-441861(14-08),ﾋｰﾄﾃｯｸﾊﾟｲﾙｿｯｸｽ,大阪DC（自）,0
2021/12/23,17.千葉TC,748,千葉旭店,1701-0509-9520,37,371-441861(14-08),ﾋｰﾄﾃｯｸﾊﾟｲﾙｿｯｸｽ,大阪DC（自）,0
2021/12/23,17.千葉TC,748,千葉旭店,1701-0510-0090,37,372-439594(14-18),ﾆｯﾄﾌﾘｰｽｾｯﾄ (L),大阪DC（自）,0
2021/12/23,17.千葉TC,748,千葉旭店,1701-0510-0130,37,372-439594(14-18),ﾆｯﾄﾌﾘｰｽｾｯﾄ (L),大阪DC（自）,0
2021/12/23,17.千葉TC,748,千葉旭店,1701-0510-0320,37,372-441097(14-14),ﾎﾞｱﾌﾘｰｽｾｯﾄ (L),大阪DC（自）,0
2021/12/23,17.千葉TC,748,千葉旭店,1701-0510-0460,37,372-441097(14-14),ﾎﾞｱﾌﾘｰｽｾｯﾄ (L),大阪DC（自）,0
2021/12/23,17.千葉TC,748,千葉旭店,1701-0510-0540,37,372-439594(14-06),ﾆｯﾄﾌﾘｰｽｾｯﾄ (L),大阪DC（自）,0
2021/12/23,17.千葉TC,748,千葉旭店,1701-0510-0620,37,372-441097(14-24),ﾎﾞｱﾌﾘｰｽｾｯﾄ (L),大阪DC（自）,0
2021/12/23,17.千葉TC,748,千葉旭店,1702-1799-7010,37,371-443359(13-01),ﾊﾟｲﾙﾒｯｼｭｼｮｰﾄｿｯｸｽ 21SS,千葉DC,0
